GITFIGHT LOG
2013-05-11 07:44:11 -0700,tybenz,U,HIT 23
2013-05-11 07:44:22 -0700,tabenziger,H,MISS
2013-05-11 07:44:28 -0700,tybenz,H,HIT 31
2013-05-11 07:44:33 -0700,tabenziger,H,MISS
2013-05-11 07:44:38 -0700,tybenz,L,MISS
2013-05-11 07:44:42 -0700,tabenziger,L,HIT 20
2013-05-11 07:44:49 -0700,tybenz,H,MISS
2013-05-11 07:44:53 -0700,tabenziger,L,HIT 20
2013-05-11 07:44:58 -0700,tybenz,H,MISS
2013-05-11 07:45:04 -0700,tabenziger,L,HIT 20
2013-05-11 07:45:19 -0700,tybenz,L,MISS
2013-05-11 07:45:24 -0700,tabenziger,L,HIT 15
2013-05-11 07:45:32 -0700,tybenz,U,MISS
2013-05-11 07:45:36 -0700,tabenziger,U,MISS
2013-05-11 07:45:41 -0700,tybenz,L,HIT 16
2013-05-11 07:45:46 -0700,tabenziger,L,HIT 17
