GITCHESS LOG
2013-05-14 21:38:34 -0700,tybenz,h7h6
2013-05-15 06:24:02 -0700,tabenziger,e7e5
2013-05-15 06:24:44 -0700,tybenz,g8f6
2013-05-15 06:25:19 -0700,tabenziger,f8a3
2013-05-15 06:25:34 -0700,tybenz,g7h6
2013-05-15 06:25:55 -0700,tabenziger,g8f6
2013-05-15 06:26:10 -0700,tybenz,h6h5
2013-05-15 06:26:23 -0700,tabenziger,a7a6
2013-05-15 06:28:03 -0700,tybenz,f8h6
2013-05-15 06:28:23 -0700,tabenziger,b8c6
2013-05-15 06:34:35 -0700,tybenz,a7a5
2013-05-15 06:50:45 -0700,tabenziger,e8g8
2013-05-15 07:08:49 -0700,tybenz,e8g8
2013-05-15 07:15:05 -0700,tabenziger,d7d6
2013-05-15 07:15:55 -0700,tybenz,h6e3
2013-05-15 07:16:09 -0700,tabenziger,d8d6
2013-05-15 07:19:33 -0700,tybenz,a8a6
2013-05-15 07:20:03 -0700,tabenziger,d6d2
2013-05-15 07:20:21 -0700,tybenz,d8e7
2013-05-15 07:21:01 -0700,tabenziger,f8e8
2013-05-15 07:21:44 -0700,tybenz,a6b6
2013-05-15 07:21:55 -0700,tabenziger,e8e7
2013-05-15 07:22:21 -0700,tybenz,b6b2
2013-05-15 07:22:38 -0700,tabenziger,g8g7
2013-05-15 07:23:00 -0700,tybenz,g8h8
